type,Parental Mean Income ($),Kid's Mean Income ($$),Mobility Rate (%)
1,71043.66439,32210.8752,1.9280404
1,98379.03405,58449.62114,6.833405
1,57771.22737,42627.00179,5.6009766
1,116773.1328,53931.90846,4.4307064
1,52114.62349,44225.55413,9.918455
1,84829.51677,49244.33341,6.3248597
1,56123.49818,32951.94418,3.3037066
1,77666.00098,33443.44549,2.04411
1,103185.4909,40109.35613,1.5793353
1,70792.21628,33298.01473,3.1190863
1,60158.27255,37418.35057,7.0821285
1,64488.08889,33103.55944,3.3059396
1,62361.81124,33390.78677,4.0576592
1,76053.56088,36643.54248,2.9531231
1,68739.46256,34430.09624,4.8148058
1,57731.04765,35389.4594,3.4616757
1,114345.2307,37890.72394,4.3851145
1,171784.8011,82856.58801,5.5962522
1,103739.6362,52188.20571,4.7993153
1,101057.1973,36782.17606,3.3638272
1,120056.0569,36744.72466,2.34816
1,77913.88572,35529.0356,2.7805742
1,86310.76223,41066.0084,2.645644
1,138658.7393,37931.57487,1.1584052
1,121501.6514,68174.46898,6.7682147
1,59464.92465,31873.89079,3.2123238
1,81050.92463,31223.54659,1.6137306
1,80882.55802,33397.399,1.7877668
1,102472.0094,59668.70069,6.0172301
1,62711.74123,34251.57475,3.4888964
1,82251.9873,45793.71725,4.3982204
1,76332.50965,31579.25653,1.7686883
1,67192.23472,31708.20894,3.8822509
1,69714.46351,31807.68551,2.828251
1,67682.33844,32231.85404,2.1405781
1,141960.9635,45810.76172,1.5977334
1,95888.39963,36632.46611,2.0021345
2,140836.1458,53629.40625,4.573692
2,172835.4881,47276.7129,1.5201175
2,159678.221,44505.20001,1.7981296
2,185591.1348,119502.5455,3.1777687
2,205473.4941,46508.11575,0.9437901
2,335092.9724,98125.4208,2.9592477
2,207971.9583,109616.2766,2.9232727
2,314268.5526,66238.50992,2.4588708
2,298825.9479,34001.24089,1.8336337
2,142117.1266,46047.74651,1.0637505
2,67906.38965,48089.91409,6.3886866
2,254125.5501,58066.14856,3.3389218
2,191723.4688,55442.95313,4.2668778
2,371031.0396,74970.85492,1.8597502
2,434121.4144,51976.01988,2.2146214
2,324439.5016,90406.20437,1.9502569
2,254753.8226,54995.78644,2.5185836
2,98916.00026,56189.7318,3.6298785
2,285910.4066,92409.22639,3.9329737
2,198170.0398,51710.17,2.9580679
2,106416.8122,45386.35046,6.364359
2,233063.9002,55754.45067,1.7024867
2,131138.3081,44780.79943,1.4180595
2,119919.5008,41389.99464,1.1353597
2,94525.19923,40537.43385,2.3633266
2,114744.1669,52419.90745,3.2972757
2,209235.6739,55441.39039,1.7173236
2,169644.5575,57255.63568,1.2286789
3,55879.31641,27716.02799,1.9744419
3,47183.26172,41296.77344,7.5222887
3,130106.3724,35981.48958,2.52064
3,53849.61801,24112.40303,3.2009132
3,36129.47396,18241.47721,1.266721
3,98614.81078,31692.84783,2.866322
3,71783.10046,15921.03343,0.73281811
3,116335.8802,25945.04753,0.32767779
3,61987.96099,28357.83861,3.5378132
3,35004.68341,22615.28372,2.239546
3,48385.38411,30488.57813,1.7930759
3,49891.94401,29111.49284,3.1802882
3,131895.1172,17539.01953,0.029449805
3,47744.54688,15524.98861,0
3,101653.7677,31006.41846,0.085495313
3,54286.0625,25353.24805,1.927687
3,75764.7293,43138.19658,3.2035813
